variant,seed,winner,rounds,first,actions,gildasHP,gawainHP
both-one-handed,2654435769,Gildas,3,Gildas,13,24,0
both-one-handed,1013904242,Gildas,4,Gawain,23,12,0
both-one-handed,3668340011,Gildas,3,Gildas,14,32,0
both-one-handed,2027808484,Gawain,6,Gawain,33,0,6
both-one-handed,387276957,Gildas,2,Gildas,8,34,0
both-one-handed,3041712726,Gildas,2,Gildas,7,45,0
both-one-handed,1401181199,Gildas,4,Gawain,23,42,0
both-one-handed,4055616968,Gildas,2,Gawain,10,38,0
both-one-handed,2415085441,Gildas,2,Gildas,9,35,0
both-one-handed,774553914,Gawain,4,Gawain,20,0,18
both-one-handed,3428989683,Gildas,4,Gawain,23,9,0
both-one-handed,1788458156,Gildas,3,Gawain,16,5,0
both-one-handed,147926629,Gildas,2,Gildas,8,58,0
both-one-handed,2802362398,Gildas,4,Gawain,24,17,0
both-one-handed,1161830871,Gildas,3,Gawain,16,18,0
both-one-handed,3816266640,Gildas,3,Gildas,15,45,0
both-one-handed,2175735113,Gildas,2,Gawain,11,49,0
both-one-handed,535203586,Gawain,3,Gawain,14,0,4
both-one-handed,3189639355,Gildas,3,Gawain,16,8,0
both-one-handed,1549107828,Gildas,3,Gawain,16,28,0
both-one-handed,4203543597,Gawain,5,Gawain,25,0,3
both-one-handed,2563012070,Gildas,3,Gildas,14,11,0
both-one-handed,922480543,Gawain,3,Gawain,15,0,23
both-one-handed,3576916312,Gildas,4,Gawain,22,3,0
both-one-handed,1936384785,Gildas,4,Gildas,20,27,0
both-one-handed,295853258,Gawain,3,Gawain,14,0,24
both-one-handed,2950289027,Gildas,4,Gildas,19,18,0
both-one-handed,1309757500,Gildas,2,Gawain,10,13,0
both-one-handed,3964193269,Gildas,2,Gildas,7,49,0
both-one-handed,2323661742,Gildas,4,Gawain,23,17,0
both-one-handed,683130215,Gawain,4,Gawain,19,0,7
both-one-handed,3337565984,Gildas,4,Gildas,20,13,0
both-one-handed,1697034457,Gildas,3,Gawain,16,41,0
both-one-handed,56502930,Gildas,3,Gawain,16,20,0
both-one-handed,2710938699,Gawain,3,Gawain,13,0,29
both-one-handed,1070407172,Gildas,3,Gawain,18,15,0
both-one-handed,3724842941,Gawain,4,Gawain,20,0,12
both-one-handed,2084311414,Gawain,3,Gildas,16,0,11
both-one-handed,443779887,Gildas,2,Gildas,8,58,0
