"Variante";"Seed";"Sieger";"Runden";"Beiträge";"Startfigur";"LP Gawain";"LP Gildas";"Aussetzbeiträge";"Blutungsticks"
"weapons";"10609178";"gildas";"13";"26";"gawain";"0";"1";"0";"0"
"weapons";"2665044939";"gawain";"12";"24";"gildas";"3";"0";"0";"0"
"weapons";"1024513404";"gildas";"14";"28";"gawain";"0";"12";"0";"0"
"weapons";"3678949165";"gildas";"9";"18";"gawain";"0";"38";"0";"0"
"weapons";"2038417630";"gildas";"13";"25";"gildas";"0";"25";"0";"0"
"weapons";"397886095";"gildas";"10";"19";"gildas";"0";"34";"0";"0"
"weapons";"3052321856";"gildas";"8";"15";"gildas";"0";"35";"0";"0"
"weapons";"1411790321";"gildas";"9";"18";"gawain";"0";"20";"0";"0"
"weapons";"4066226082";"gawain";"17";"34";"gildas";"17";"0";"0";"0"
"weapons";"2425694547";"gildas";"9";"18";"gawain";"0";"36";"0";"0"
"weapons";"785163012";"gildas";"13";"25";"gildas";"0";"27";"0";"0"
"weapons";"3439598773";"gawain";"11";"21";"gawain";"6";"0";"0";"0"
"weapons";"1799067238";"gildas";"11";"22";"gawain";"0";"8";"0";"0"
"weapons";"158535703";"gawain";"8";"15";"gawain";"25";"0";"0";"0"
"weapons";"2812971464";"gildas";"20";"39";"gildas";"0";"21";"0";"0"
"weapons";"1172439929";"gildas";"12";"24";"gawain";"0";"22";"0";"0"
"weapons";"3826875690";"gildas";"13";"25";"gildas";"0";"27";"0";"0"
"weapons";"2186344155";"gildas";"10";"19";"gildas";"0";"10";"0";"0"
"weapons";"545812620";"gawain";"10";"19";"gawain";"29";"0";"0";"0"
"weapons";"3200248381";"gildas";"11";"21";"gildas";"0";"29";"0";"0"
"weapons";"1559716846";"gildas";"6";"12";"gawain";"0";"24";"0";"0"
"weapons";"4214152607";"gildas";"11";"21";"gildas";"0";"39";"0";"0"
"weapons";"2573621072";"gildas";"13";"25";"gildas";"0";"12";"0";"0"
"weapons";"933089537";"gildas";"12";"23";"gildas";"0";"15";"0";"0"
"weapons";"3587525298";"gildas";"12";"24";"gawain";"0";"31";"0";"0"
"weapons";"1946993763";"gawain";"14";"28";"gildas";"6";"0";"0";"0"
"weapons";"306462228";"gildas";"20";"40";"gawain";"0";"2";"0";"0"
"weapons";"2960897989";"gildas";"12";"24";"gawain";"0";"5";"0";"0"
"weapons";"1320366454";"gawain";"10";"20";"gildas";"22";"0";"0";"0"
"weapons";"3974802215";"gawain";"9";"17";"gawain";"13";"0";"0";"0"
"weapons";"2334270680";"gildas";"11";"22";"gawain";"0";"9";"0";"0"
"weapons";"693739145";"gildas";"7";"13";"gildas";"0";"22";"0";"0"
"weapons";"3348174906";"gildas";"8";"15";"gildas";"0";"11";"0";"0"
"weapons";"1707643371";"gildas";"8";"16";"gawain";"0";"21";"0";"0"
"weapons";"67111836";"gildas";"10";"20";"gawain";"0";"22";"0";"0"
"weapons";"2721547597";"gildas";"13";"25";"gildas";"0";"21";"0";"0"
"weapons";"1081016062";"gildas";"9";"18";"gawain";"0";"33";"0";"0"
"weapons";"3735451823";"gildas";"8";"15";"gildas";"0";"29";"0";"0"
"weapons";"2094920288";"gawain";"12";"24";"gildas";"16";"0";"0";"0"
"weapons";"454388753";"gawain";"12";"23";"gawain";"7";"0";"0";"0"
"weapons";"3108824514";"gawain";"10";"20";"gildas";"17";"0";"0";"0"
"weapons";"1468292979";"gildas";"14";"28";"gawain";"0";"27";"0";"0"
"weapons";"4122728740";"gildas";"11";"22";"gawain";"0";"28";"0";"0"
"weapons";"2482197205";"gildas";"13";"25";"gildas";"0";"4";"0";"0"
"weapons";"841665670";"gildas";"15";"29";"gildas";"0";"23";"0";"0"
"weapons";"3496101431";"gawain";"12";"24";"gildas";"15";"0";"0";"0"
"weapons";"1855569896";"gildas";"7";"13";"gildas";"0";"44";"0";"0"
"weapons";"215038361";"gildas";"8";"15";"gildas";"0";"32";"0";"0"
"weapons";"2869474122";"gildas";"11";"21";"gildas";"0";"7";"0";"0"
"weapons";"1228942587";"gildas";"11";"22";"gawain";"0";"21";"0";"0"
"weapons";"3883378348";"gildas";"13";"26";"gawain";"0";"47";"0";"0"
"weapons";"2242846813";"gildas";"11";"22";"gawain";"0";"35";"0";"0"
"weapons";"602315278";"gildas";"8";"15";"gildas";"0";"31";"0";"0"
"weapons";"3256751039";"gawain";"17";"33";"gawain";"3";"0";"0";"0"
"weapons";"1616219504";"gildas";"8";"16";"gawain";"0";"30";"0";"0"
"weapons";"4270655265";"gildas";"9";"17";"gildas";"0";"20";"0";"0"
"weapons";"2630123730";"gawain";"10";"19";"gawain";"14";"0";"0";"0"
"weapons";"989592195";"gawain";"13";"25";"gawain";"7";"0";"0";"0"
"weapons";"3644027956";"gildas";"8";"16";"gawain";"0";"54";"0";"0"
"weapons";"2003496421";"gildas";"15";"29";"gildas";"0";"4";"0";"0"
"weapons";"362964886";"gildas";"13";"25";"gildas";"0";"20";"0";"0"
"weapons";"3017400647";"gawain";"16";"31";"gawain";"10";"0";"0";"0"
"weapons";"1376869112";"gildas";"11";"22";"gawain";"0";"15";"0";"0"
"weapons";"4031304873";"gildas";"12";"23";"gildas";"0";"21";"0";"0"
"weapons";"2390773338";"gildas";"11";"21";"gildas";"0";"26";"0";"0"
"weapons";"750241803";"gildas";"6";"12";"gawain";"0";"17";"0";"0"
"weapons";"3404677564";"gildas";"20";"39";"gildas";"0";"16";"0";"0"
"weapons";"1764146029";"gildas";"16";"32";"gawain";"0";"31";"0";"0"
"weapons";"123614494";"gildas";"10";"20";"gawain";"0";"41";"0";"0"
"weapons";"2778050255";"gildas";"13";"26";"gawain";"0";"26";"0";"0"
"weapons";"1137518720";"gildas";"11";"22";"gawain";"0";"16";"0";"0"
"weapons";"3791954481";"gildas";"10";"20";"gawain";"0";"25";"0";"0"
"weapons";"2151422946";"gildas";"8";"15";"gildas";"0";"45";"0";"0"
"weapons";"510891411";"gildas";"13";"26";"gawain";"0";"12";"0";"0"
"weapons";"3165327172";"gawain";"13";"26";"gildas";"3";"0";"0";"0"
"weapons";"1524795637";"gildas";"12";"24";"gawain";"0";"36";"0";"0"
"weapons";"4179231398";"gildas";"7";"14";"gawain";"0";"31";"0";"0"
"weapons";"2538699863";"gawain";"11";"22";"gildas";"2";"0";"0";"0"
"weapons";"898168328";"gildas";"9";"18";"gawain";"0";"39";"0";"0"
"weapons";"3552604089";"gildas";"15";"30";"gawain";"0";"36";"0";"0"
"weapons";"1912072554";"gildas";"10";"20";"gawain";"0";"8";"0";"0"
"weapons";"271541019";"gildas";"14";"28";"gawain";"0";"5";"0";"0"
"weapons";"2925976780";"gildas";"11";"21";"gildas";"0";"34";"0";"0"
"weapons";"1285445245";"gildas";"17";"33";"gildas";"0";"19";"0";"0"
"weapons";"3939881006";"gildas";"9";"17";"gildas";"0";"19";"0";"0"
"weapons";"2299349471";"gildas";"10";"19";"gildas";"0";"28";"0";"0"
"weapons";"658817936";"gawain";"14";"27";"gawain";"2";"0";"0";"0"
"weapons";"3313253697";"gildas";"10";"19";"gildas";"0";"58";"0";"0"
"weapons";"1672722162";"gildas";"9";"18";"gawain";"0";"20";"0";"0"
