Bereich	Wort	Silben	Deutsch	Gebrauch
Gesellschaft	mora	mo·ra	Volk	Gemeinschaft über einzelne Sippen hinaus.
Gesellschaft	moran	mo·ran	Volksangehöriger	Mitglied des eigenen Volkes, jedes Geschlecht.
Gesellschaft	nara	na·ra	Sippe	Große Verwandtschaft mit gemeinsamem Namen.
Gesellschaft	narun	na·run	Sippenhalle	Versammlungsort der Verwandtschaft.
Gesellschaft	naror	na·ror	Sippenoberhaupt	Gewählte oder ererbte Führung einer Sippe.
Gesellschaft	dora	do·ra	Haus	Gebäude; auch ein anerkanntes Adelshaus.
Gesellschaft	doran	do·ran	Hausangehöriger	Person im Schutz und Dienst eines Hauses.
Gesellschaft	feran	fe·ran	Freund	Frei gewählter Vertrauter.
Gesellschaft	fera	fe·ra	Freundschaft	Beistand ohne Lehenspflicht.
Gesellschaft	ranum	ra·num	Gemeinderat	Versammlung der örtlichen Sprecher.
Gesellschaft	ranor	ra·nor	Ratsherr oder Ratsfrau	Sitz und Stimme im Rat.
Gesellschaft	belan	be·lan	Bürger	Freier Angehöriger einer Marktgemeinde.
Gesellschaft	talan	ta·lan	Landbewohner	Freie Person außerhalb der Stadt.
Gesellschaft	barin	ba·rin	Höriger	An ein Lehen gebundene, persönlich geschützte Person.
Gesellschaft	zorun	zo·run	Leibeigener	Unfreie Person unter persönlicher Herrengewalt.
Gesellschaft	kelan	ke·lan	Geselle	Ausgelernter Handwerker ohne Meisteramt.
Gesellschaft	kelin	ke·lin	Lehrling	Person in handwerklicher Ausbildung.
Gesellschaft	kelum	ke·lum	Zunft	Verbindlicher Handwerksverband.
Gesellschaft	ganor	ga·nor	Herold	Öffentlicher Sprecher mit anerkanntem Geleit.
Gesellschaft	sagor	sa·gor	Erzähler	Bewahrt Taten und Familiengeschichten.
Gesellschaft	kunor	ku·nor	Lehrer	Vermittelt Wissen oder Lesen und Schreiben.
Gesellschaft	varan	va·ran	Eidgenosse	Durch einen persönlichen Schwur verbunden.
Gesellschaft	meran	me·ran	Gast	Für die Dauer des Besuchs unter Hausschutz.
Gesellschaft	selan	se·lan	Fremder	Person ohne bekannte örtliche Zugehörigkeit.
Gesellschaft	morun	mo·run	Versammlungsplatz	Öffentlicher Ort der Gemeinschaft.
Feudalstand	darak	da·rak	König oder Königin	Oberste erbliche Herrschaft; Titel für jedes Geschlecht.
Feudalstand	ar darak	ar da·rak	Hochkönig oder Hochkönigin	Vorrang über mehrere anerkannte Kronen.
Feudalstand	darun	da·run	Königreich	Gebiet unter einer Krone.
Feudalstand	daran	da·ran	Herr oder Herrin	Anrede eines anerkannten Herrschaftsträgers.
Feudalstand	darin	da·rin	Prinz oder Prinzessin	Kind des regierenden Hauses.
