Adren Alen Ardel Asren
Balren Barin Belren Brinel
Cadrin Calenor Caren Corren
Dalren Darin Delren Doren
Edren Elen Erdel Esren
Falren Farin Felren Frinel
Galren Garin Gelren Grenel
Hadren Halen Hardel Herin
Idren Ilen Irdel Isren
Jadren Jalen Jardel Jerin
Kalren Karin Kelren Krenel
Ladren Lalen Lardel Lerin
Malren Marin Melren Moren
Nadren Nalen Nardel Nerin
Odren Olen Ordel Osren
Padren Palen Pardel Perin
Qualen Quaren
Ralren Rarin Relren Roren
Sadren Salen Sardel Serin
Talren Tarin Telren Toren
Udren Ulen Urdel Usren
Vadren Valen Vardel Verin
Wadren Walen Wardel Werin
Xalen Xaren
Ydren Ylen Yrdel Ysren
Zadren Zalen Zardel Zerin
