Geschlecht;Name;Erststamm;Zweitstamm;Erstbedeutung;Zweitbedeutung
männlich;Arubar;Aru;bar;Kraft und Führung;Haus und Familie
männlich;Aruzan;Aru;zan;Kraft und Führung;Schutz und Schwert
männlich;Arumer;Aru;mer;Kraft und Führung;Wasser und Leben
männlich;Arutav;Aru;tav;Kraft und Führung;Zeichen und Eid
männlich;Arudar;Aru;dar;Kraft und Führung;Tor und Gelegenheit
männlich;Betizan;Beti;zan;Haus und Schutz;Schutz und Schwert
männlich;Betimer;Beti;mer;Haus und Schutz;Wasser und Leben
männlich;Betitav;Beti;tav;Haus und Schutz;Zeichen und Eid
männlich;Betidar;Beti;dar;Haus und Schutz;Tor und Gelegenheit
männlich;Betilam;Beti;lam;Haus und Schutz;Führung und Lehre
männlich;Gamumer;Gamu;mer;Reise und Ausdauer;Wasser und Leben
männlich;Gamutav;Gamu;tav;Reise und Ausdauer;Zeichen und Eid
männlich;Gamudar;Gamu;dar;Reise und Ausdauer;Tor und Gelegenheit
männlich;Gamulam;Gamu;lam;Reise und Ausdauer;Führung und Lehre
männlich;Gamuresh;Gamu;resh;Reise und Ausdauer;Herrschaft und Rang
männlich;Dalutav;Dalu;tav;Tor und Neubeginn;Zeichen und Eid
männlich;Daludar;Dalu;dar;Tor und Neubeginn;Tor und Gelegenheit
männlich;Dalulam;Dalu;lam;Tor und Neubeginn;Führung und Lehre
männlich;Daluresh;Dalu;resh;Tor und Neubeginn;Herrschaft und Rang
männlich;Dalugam;Dalu;gam;Tor und Neubeginn;Reise und Ausdauer
männlich;Henudar;Henu;dar;Licht und Offenbarung;Tor und Gelegenheit
männlich;Henulam;Henu;lam;Licht und Offenbarung;Führung und Lehre
männlich;Henuresh;Henu;resh;Licht und Offenbarung;Herrschaft und Rang
männlich;Henugam;Henu;gam;Licht und Offenbarung;Reise und Ausdauer
männlich;Henuyad;Henu;yad;Licht und Offenbarung;Tat und Hand
männlich;Warulam;Waru;lam;Bindung und Treue;Führung und Lehre
männlich;Waruresh;Waru;resh;Bindung und Treue;Herrschaft und Rang
männlich;Warugam;Waru;gam;Bindung und Treue;Reise und Ausdauer
männlich;Waruyad;Waru;yad;Bindung und Treue;Tat und Hand
männlich;Warusam;Waru;sam;Bindung und Treue;Pfeiler und Beständigkeit
männlich;Zayiresh;Zayi;resh;Schwert und Entschlossenheit;Herrschaft und Rang
männlich;Zayigam;Zayi;gam;Schwert und Entschlossenheit;Reise und Ausdauer
männlich;Zayiyad;Zayi;yad;Schwert und Entschlossenheit;Tat und Hand
männlich;Zayisam;Zayi;sam;Schwert und Entschlossenheit;Pfeiler und Beständigkeit
männlich;Zayibar;Zayi;bar;Schwert und Entschlossenheit;Haus und Familie
männlich;Hetugam;Hetu;gam;Mauer und Bewahrung;Reise und Ausdauer
männlich;Hetuyad;Hetu;yad;Mauer und Bewahrung;Tat und Hand
männlich;Hetusam;Hetu;sam;Mauer und Bewahrung;Pfeiler und Beständigkeit
männlich;Hetubar;Hetu;bar;Mauer und Bewahrung;Haus und Familie
männlich;Hetuzan;Hetu;zan;Mauer und Bewahrung;Schutz und Schwert
männlich;Tariyad;Tari;yad;Zyklus und Schicksal;Tat und Hand
