Kategorie;Kana'anith;Wortart;Herleitung;Wörtlich;Deutsch
Herrschaft und Recht;Rareshor;Substantiv;RA- + RESH + -OR;königlicher Amtsträger des Kopfes;"König; oberster weltlicher Herrscher"
Herrschaft und Recht;Urrareshor;Substantiv;UR- + RARESHOR;erhöhter König;"Hochkönig; Großherrscher"
Herrschaft und Recht;Rareshat;Substantiv;RA- + RESH + -AT;königliche Trägerin der Herrschaft;"Königin; souveräne Herrscherin"
Herrschaft und Recht;Reshir;Substantiv;RESH + -IR;beruflicher Leiter;"Statthalter; Provinzverwalter"
Herrschaft und Recht;Paror;Substantiv;PAR + -OR;Amt des Mundes;"Herold; offizieller Sprecher"
Herrschaft und Recht;Lamor;Substantiv;LAM + -OR;Amt der Führung;"Kanzler; leitender Ratgeber"
Herrschaft und Recht;Tayad;Substantiv;TA- + YAD;festgehaltene Tat;"Erlass; ausgeführter königlicher Befehl"
Herrschaft und Recht;Tatav;Substantiv;TA- + TAV;aufgezeichnetes Zeichen;"Gesetz; Rechtskodex"
Herrschaft und Recht;Wartav;Substantiv;WAR + TAV;versiegelte Bindung;"Vertrag; rechtskräftiger Bund"
Herrschaft und Recht;Ayenor;Substantiv;AYEN + -OR;Amt des Auges;"Richter; königlicher Prüfer"
Herrschaft und Recht;Sadir;Substantiv;SAD + -IR;beruflicher Ergreifer;"Gerichtsdiener; Steuereinnehmer"
Herrschaft und Recht;Betim;Substantiv;BET + -IM;Gesamtheit eines Hauses;"Adelshaus; Dynastie"
Herrschaft und Recht;Reshaya;Substantiv;RESH + -AYA;Linie des Hauptes;"Königsdynastie; Thronfolge"
Herrschaft und Recht;Rahetum;Substantiv;RA- + HET + -UM;königlich umgrenztes Gebiet;"Provinz; Verwaltungsbezirk"
Herrschaft und Recht;Samor;Substantiv;SAM + -OR;Amt des tragenden Pfeilers;"Großhofmeister; oberster Verwalter"
Tempel, Götter und Magie;Uralor;Substantiv;UR- + AL + -OR;erhöhte Kraftperson;"Gott; hohe göttliche Macht"
Tempel, Götter und Magie;Uralat;Substantiv;UR- + AL + -AT;erhöhte weibliche Kraft;"Göttin; hohe göttliche Macht"
