Kategorie;Wort;Wortart;Bildung;Wörtliche Bedeutung;Deutsch
Staat und Recht;Imperius;Substantiv;IMPERIUM + -IUS;persönlicher Träger der Befehlsgewalt;"Kaiser; oberster Herrscher"
Staat und Recht;Imperatrix;Substantiv;IMPERIUM + -RIX;weibliche Trägerin der Befehlsgewalt;Kaiserin
Staat und Recht;Senatus;Substantiv;SEN + -ATUS;Körperschaft des Rates;Senat
Staat und Recht;Senor;Substantiv;SEN + -OR;Amtsträger des Rates;Senator
Staat und Recht;Civitas;Substantiv;CIV + -ITAS;Eigenschaft der Bürgerschaft;"Bürgerrecht; Staatsbürgerschaft"
Staat und Recht;Civarius;Substantiv;CIV + -ARIUS;regelmäßiger Träger des Bürgerrechts;Bürger
Staat und Recht;Lexium;Substantiv;LEX + -IUM;Institution des Gesetzes;"Gesetzbuch; Rechtskodex"
Staat und Recht;Lexor;Substantiv;LEX + -OR;Amtsträger des Gesetzes;Richter
Staat und Recht;Potestor;Substantiv;POT + -OR;Träger verliehener Amtsgewalt;"Magistrat; Amtmann"
Staat und Recht;Ordinator;Substantiv;ORD + -OR;Handelnder der Ordnung;"Verwalter; Organisator"
Staat und Recht;Praepotestor;Substantiv;PRAE- + POT + -OR;vorrangiger Amtsträger;"Präfekt; Provinzvorsteher"
Staat und Recht;Subpotestor;Substantiv;SUB- + POT + -OR;nachgeordneter Amtsträger;"Stellvertreter; Unterpräfekt"
Staat und Recht;Consenium;Substantiv;CON- + SEN + -IUM;Institution gemeinsamen Rates;"Staatsrat; Beratungskammer"
Staat und Recht;Auctorium;Substantiv;AUCTORITAS + -IUM;greifbare staatliche Autorität;"Vollmacht; amtliche Urkunde"
Staat und Recht;Fidamentum;Substantiv;FID + -MENTUM;Werkzeug der Treue;"Eidesurkunde; Treuevertrag"
Staat und Recht;Nobilatus;Substantiv;NOB + -ATUS;Körperschaft des Adels;"Adelsstand; Patriziat"
Staat und Recht;Civarium;Substantiv;CIV + -ARIUM;Ort der Bürgerschaft;"Bürgerregister; Meldeamt"
Staat und Recht;Senalex;Substantiv;SEN + LEX;Gesetz des Senats;Senatsbeschluss
Staat und Recht;Argentarium;Substantiv;ARG + -ARIUM;Ort des Silbers;"Staatskasse; Schatzamt"
Staat und Recht;Unitarium;Substantiv;UNITAS + -ARIUM;Institution der Einheit;"Reichsbund; föderale Körperschaft"
Militär und Triumph;Bellator;Substantiv;BELL + -OR;Handelnder des Krieges;"Soldat; Krieger"
Militär und Triumph;Bellatrix;Substantiv;BELL + -RIX;weibliche Handelnde des Krieges;Kriegerin
Militär und Triumph;Legatus;Substantiv;LEG + -ATUS;Amt der Legion;"Legat; Legionskommandeur"
Militär und Triumph;Legionum;Substantiv;LEG + -UM;greifbare geordnete Formation;Legion
Militär und Triumph;Sublegatus;Substantiv;SUB- + LEG + -ATUS;nachgeordnetes Legionsamt;"Tribun; stellvertretender Kommandeur"
Militär und Triumph;Fortarium;Substantiv;FORT + -ARIUM;Ort der Standhaftigkeit;"Festung; befestigtes Lager"
Militär und Triumph;Victorius;Substantiv;VICT + -IUS;persönlicher Träger des Sieges;"Sieger; Ehrentitel"
Militär und Triumph;Disciplinium;Substantiv;DISC + -IUM;Institution militärischer Zucht;"Drill; Dienstordnung"
Militär und Triumph;Martor;Substantiv;MARS + -OR;Amtsträger der Kampfkraft;Schlachthauptmann
Militär und Triumph;Gloriatus;Substantiv;GLO + -ATUS;öffentlich bestätigter Ruhm;militärische Auszeichnung
Militär und Triumph;Fidlegius;Substantiv;FID + LEG + -IUS;treuer Träger der Legion;Legionär auf Lebenszeit
Militär und Triumph;Praebellum;Substantiv;PRAE- + BELL + -UM;vorbereiteter Krieg;Mobilmachung
Militär und Triumph;Bellatorium;Substantiv;BELL + -TORIUM;Funktionsort des Krieges;"Kaserne; Waffenhof"
Militär und Triumph;Potestbellum;Substantiv;POT + BELL;Amtsgewalt über Krieg;Oberbefehl
