Name;Stamm;Endung;Stammbedeutung;Endungsbedeutung
Valerius;Valer;ius;Stärke, Tugend und Gesetz;persönlicher Träger
Valerian;Valer;ian;Stärke, Tugend und Gesetz;Erbe einer Linie
Valerinus;Valer;inus;Stärke, Tugend und Gesetz;durch die Bedeutung geprägt
Valeratus;Valer;atus;Stärke, Tugend und Gesetz;für Amt oder Pflicht bestimmt
Valerellus;Valer;ellus;Stärke, Tugend und Gesetz;jüngerer oder besonders geschätzter Träger
Lexarius;Lexar;ius;Gesetz und Rechtsbindung;persönlicher Träger
Lexarian;Lexar;ian;Gesetz und Rechtsbindung;Erbe einer Linie
Lexarinus;Lexar;inus;Gesetz und Rechtsbindung;durch die Bedeutung geprägt
Lexaratus;Lexar;atus;Gesetz und Rechtsbindung;für Amt oder Pflicht bestimmt
Lexarellus;Lexar;ellus;Gesetz und Rechtsbindung;jüngerer oder besonders geschätzter Träger
Senarius;Senar;ius;Rat und kollektive Weisheit;persönlicher Träger
Senarian;Senar;ian;Rat und kollektive Weisheit;Erbe einer Linie
Senarinus;Senar;inus;Rat und kollektive Weisheit;durch die Bedeutung geprägt
Senaratus;Senar;atus;Rat und kollektive Weisheit;für Amt oder Pflicht bestimmt
Senarellus;Senar;ellus;Rat und kollektive Weisheit;jüngerer oder besonders geschätzter Träger
Civerius;Civer;ius;Bürgerschaft und Zugehörigkeit;persönlicher Träger
Civerian;Civer;ian;Bürgerschaft und Zugehörigkeit;Erbe einer Linie
Civerinus;Civer;inus;Bürgerschaft und Zugehörigkeit;durch die Bedeutung geprägt
Civeratus;Civer;atus;Bürgerschaft und Zugehörigkeit;für Amt oder Pflicht bestimmt
Civerellus;Civer;ellus;Bürgerschaft und Zugehörigkeit;jüngerer oder besonders geschätzter Träger
Honorius;Honor;ius;Ehre und Ansehen;persönlicher Träger
Honorian;Honor;ian;Ehre und Ansehen;Erbe einer Linie
Honorinus;Honor;inus;Ehre und Ansehen;durch die Bedeutung geprägt
Honoratus;Honor;atus;Ehre und Ansehen;für Amt oder Pflicht bestimmt
Honorellus;Honor;ellus;Ehre und Ansehen;jüngerer oder besonders geschätzter Träger
Nobilius;Nobil;ius;Adel und Blutlinie;persönlicher Träger
Nobilian;Nobil;ian;Adel und Blutlinie;Erbe einer Linie
Nobilinus;Nobil;inus;Adel und Blutlinie;durch die Bedeutung geprägt
Nobilatus;Nobil;atus;Adel und Blutlinie;für Amt oder Pflicht bestimmt
Nobilellus;Nobil;ellus;Adel und Blutlinie;jüngerer oder besonders geschätzter Träger
Ordinius;Ordin;ius;Ordnung und Rang;persönlicher Träger
Ordinian;Ordin;ian;Ordnung und Rang;Erbe einer Linie
Ordininus;Ordin;inus;Ordnung und Rang;durch die Bedeutung geprägt
Ordinatus;Ordin;atus;Ordnung und Rang;für Amt oder Pflicht bestimmt
Ordinellus;Ordin;ellus;Ordnung und Rang;jüngerer oder besonders geschätzter Träger
Potenius;Poten;ius;Amt und verliehene Macht;persönlicher Träger
Potenian;Poten;ian;Amt und verliehene Macht;Erbe einer Linie
Poteninus;Poten;inus;Amt und verliehene Macht;durch die Bedeutung geprägt
Potenatus;Poten;atus;Amt und verliehene Macht;für Amt oder Pflicht bestimmt
Potenellus;Poten;ellus;Amt und verliehene Macht;jüngerer oder besonders geschätzter Träger
Bellarius;Bellar;ius;Krieg und staatliche Gewalt;persönlicher Träger
Bellarian;Bellar;ian;Krieg und staatliche Gewalt;Erbe einer Linie
Bellarinus;Bellar;inus;Krieg und staatliche Gewalt;durch die Bedeutung geprägt
Bellaratus;Bellar;atus;Krieg und staatliche Gewalt;für Amt oder Pflicht bestimmt
Bellarellus;Bellar;ellus;Krieg und staatliche Gewalt;jüngerer oder besonders geschätzter Träger
Victorius;Victor;ius;Sieg und Triumph;persönlicher Träger
Victorian;Victor;ian;Sieg und Triumph;Erbe einer Linie
Victorinus;Victor;inus;Sieg und Triumph;durch die Bedeutung geprägt
Victoratus;Victor;atus;Sieg und Triumph;für Amt oder Pflicht bestimmt
Victorellus;Victor;ellus;Sieg und Triumph;jüngerer oder besonders geschätzter Träger
Legarius;Legar;ius;Legion und Formation;persönlicher Träger
Legarian;Legar;ian;Legion und Formation;Erbe einer Linie
