Name;Stamm;Endung;Stammbedeutung;Endungsbedeutung
Valeria;Valer;ia;Stärke, Tugend und Gesetz;persönliche Trägerin
Valeriana;Valer;iana;Stärke, Tugend und Gesetz;Erbin einer Linie
Valerina;Valer;ina;Stärke, Tugend und Gesetz;durch die Bedeutung geprägt
Valerata;Valer;ata;Stärke, Tugend und Gesetz;für Amt oder Pflicht bestimmt
Valerella;Valer;ella;Stärke, Tugend und Gesetz;jüngere oder besonders geschätzte Trägerin
Lexaria;Lexar;ia;Gesetz und Rechtsbindung;persönliche Trägerin
Lexariana;Lexar;iana;Gesetz und Rechtsbindung;Erbin einer Linie
Lexarina;Lexar;ina;Gesetz und Rechtsbindung;durch die Bedeutung geprägt
Lexarata;Lexar;ata;Gesetz und Rechtsbindung;für Amt oder Pflicht bestimmt
Lexarella;Lexar;ella;Gesetz und Rechtsbindung;jüngere oder besonders geschätzte Trägerin
Senaria;Senar;ia;Rat und kollektive Weisheit;persönliche Trägerin
Senariana;Senar;iana;Rat und kollektive Weisheit;Erbin einer Linie
Senarina;Senar;ina;Rat und kollektive Weisheit;durch die Bedeutung geprägt
Senarata;Senar;ata;Rat und kollektive Weisheit;für Amt oder Pflicht bestimmt
Senarella;Senar;ella;Rat und kollektive Weisheit;jüngere oder besonders geschätzte Trägerin
Civeria;Civer;ia;Bürgerschaft und Zugehörigkeit;persönliche Trägerin
Civeriana;Civer;iana;Bürgerschaft und Zugehörigkeit;Erbin einer Linie
Civerina;Civer;ina;Bürgerschaft und Zugehörigkeit;durch die Bedeutung geprägt
Civerata;Civer;ata;Bürgerschaft und Zugehörigkeit;für Amt oder Pflicht bestimmt
Civerella;Civer;ella;Bürgerschaft und Zugehörigkeit;jüngere oder besonders geschätzte Trägerin
Honoria;Honor;ia;Ehre und Ansehen;persönliche Trägerin
Honoriana;Honor;iana;Ehre und Ansehen;Erbin einer Linie
Honorina;Honor;ina;Ehre und Ansehen;durch die Bedeutung geprägt
Honorata;Honor;ata;Ehre und Ansehen;für Amt oder Pflicht bestimmt
Honorella;Honor;ella;Ehre und Ansehen;jüngere oder besonders geschätzte Trägerin
Nobilia;Nobil;ia;Adel und Blutlinie;persönliche Trägerin
Nobiliana;Nobil;iana;Adel und Blutlinie;Erbin einer Linie
Nobilina;Nobil;ina;Adel und Blutlinie;durch die Bedeutung geprägt
Nobilata;Nobil;ata;Adel und Blutlinie;für Amt oder Pflicht bestimmt
Nobilella;Nobil;ella;Adel und Blutlinie;jüngere oder besonders geschätzte Trägerin
Ordinia;Ordin;ia;Ordnung und Rang;persönliche Trägerin
Ordiniana;Ordin;iana;Ordnung und Rang;Erbin einer Linie
Ordinina;Ordin;ina;Ordnung und Rang;durch die Bedeutung geprägt
Ordinata;Ordin;ata;Ordnung und Rang;für Amt oder Pflicht bestimmt
Ordinella;Ordin;ella;Ordnung und Rang;jüngere oder besonders geschätzte Trägerin
Potenia;Poten;ia;Amt und verliehene Macht;persönliche Trägerin
Poteniana;Poten;iana;Amt und verliehene Macht;Erbin einer Linie
Potenina;Poten;ina;Amt und verliehene Macht;durch die Bedeutung geprägt
Potenata;Poten;ata;Amt und verliehene Macht;für Amt oder Pflicht bestimmt
Potenella;Poten;ella;Amt und verliehene Macht;jüngere oder besonders geschätzte Trägerin
Bellaria;Bellar;ia;Krieg und staatliche Gewalt;persönliche Trägerin
Bellariana;Bellar;iana;Krieg und staatliche Gewalt;Erbin einer Linie
Bellarina;Bellar;ina;Krieg und staatliche Gewalt;durch die Bedeutung geprägt
Bellarata;Bellar;ata;Krieg und staatliche Gewalt;für Amt oder Pflicht bestimmt
Bellarella;Bellar;ella;Krieg und staatliche Gewalt;jüngere oder besonders geschätzte Trägerin
Victoria;Victor;ia;Sieg und Triumph;persönliche Trägerin
Victoriana;Victor;iana;Sieg und Triumph;Erbin einer Linie
Victorina;Victor;ina;Sieg und Triumph;durch die Bedeutung geprägt
Victorata;Victor;ata;Sieg und Triumph;für Amt oder Pflicht bestimmt
Victorella;Victor;ella;Sieg und Triumph;jüngere oder besonders geschätzte Trägerin
Legaria;Legar;ia;Legion und Formation;persönliche Trägerin
Legariana;Legar;iana;Legion und Formation;Erbin einer Linie
Legarina;Legar;ina;Legion und Formation;durch die Bedeutung geprägt
Legarata;Legar;ata;Legion und Formation;für Amt oder Pflicht bestimmt
Legarella;Legar;ella;Legion und Formation;jüngere oder besonders geschätzte Trägerin
Fortenia;Forten;ia;Standhaftigkeit und Kraft;persönliche Trägerin
Forteniana;Forten;iana;Standhaftigkeit und Kraft;Erbin einer Linie
Fortenina;Forten;ina;Standhaftigkeit und Kraft;durch die Bedeutung geprägt
Fortenata;Forten;ata;Standhaftigkeit und Kraft;für Amt oder Pflicht bestimmt
Fortenella;Forten;ella;Standhaftigkeit und Kraft;jüngere oder besonders geschätzte Trägerin
Gloriia;Glori;ia;Ruhm und öffentliches Andenken;persönliche Trägerin
Gloriiana;Glori;iana;Ruhm und öffentliches Andenken;Erbin einer Linie
Gloriina;Glori;ina;Ruhm und öffentliches Andenken;durch die Bedeutung geprägt
Gloriata;Glori;ata;Ruhm und öffentliches Andenken;für Amt oder Pflicht bestimmt
Gloriella;Glori;ella;Ruhm und öffentliches Andenken;jüngere oder besonders geschätzte Trägerin
Fidelia;Fidel;ia;Treue und Eid;persönliche Trägerin
Fideliana;Fidel;iana;Treue und Eid;Erbin einer Linie
Fidelina;Fidel;ina;Treue und Eid;durch die Bedeutung geprägt
Fidelata;Fidel;ata;Treue und Eid;für Amt oder Pflicht bestimmt
Fidelella;Fidel;ella;Treue und Eid;jüngere oder besonders geschätzte Trägerin
Discipia;Discip;ia;Zucht und Selbstbeherrschung;persönliche Trägerin
Discipiana;Discip;iana;Zucht und Selbstbeherrschung;Erbin einer Linie
Discipina;Discip;ina;Zucht und Selbstbeherrschung;durch die Bedeutung geprägt
Discipata;Discip;ata;Zucht und Selbstbeherrschung;für Amt oder Pflicht bestimmt
Discipella;Discip;ella;Zucht und Selbstbeherrschung;jüngere oder besonders geschätzte Trägerin
Rationia;Ration;ia;Vernunft und Logik;persönliche Trägerin
Rationiana;Ration;iana;Vernunft und Logik;Erbin einer Linie
Rationina;Ration;ina;Vernunft und Logik;durch die Bedeutung geprägt
Rationata;Ration;ata;Vernunft und Logik;für Amt oder Pflicht bestimmt
Rationella;Ration;ella;Vernunft und Logik;jüngere oder besonders geschätzte Trägerin
Sapienia;Sapien;ia;Weisheit und Erkenntnis;persönliche Trägerin
Sapieniana;Sapien;iana;Weisheit und Erkenntnis;Erbin einer Linie
Sapienina;Sapien;ina;Weisheit und Erkenntnis;durch die Bedeutung geprägt
Sapienata;Sapien;ata;Weisheit und Erkenntnis;für Amt oder Pflicht bestimmt
Sapienella;Sapien;ella;Weisheit und Erkenntnis;jüngere oder besonders geschätzte Trägerin
Argentia;Argent;ia;Silber, Reinheit und Wert;persönliche Trägerin
Argentiana;Argent;iana;Silber, Reinheit und Wert;Erbin einer Linie
Argentina;Argent;ina;Silber, Reinheit und Wert;durch die Bedeutung geprägt
Argentata;Argent;ata;Silber, Reinheit und Wert;für Amt oder Pflicht bestimmt
Argentella;Argent;ella;Silber, Reinheit und Wert;jüngere oder besonders geschätzte Trägerin
Venturia;Ventur;ia;Wind, Freiheit und Gedankenfluss;persönliche Trägerin
Venturiana;Ventur;iana;Wind, Freiheit und Gedankenfluss;Erbin einer Linie
Venturina;Ventur;ina;Wind, Freiheit und Gedankenfluss;durch die Bedeutung geprägt
Venturata;Ventur;ata;Wind, Freiheit und Gedankenfluss;für Amt oder Pflicht bestimmt
Venturella;Ventur;ella;Wind, Freiheit und Gedankenfluss;jüngere oder besonders geschätzte Trägerin
Liberia;Liber;ia;Freiheit und eigenes Urteil;persönliche Trägerin
Liberiana;Liber;iana;Freiheit und eigenes Urteil;Erbin einer Linie
Liberina;Liber;ina;Freiheit und eigenes Urteil;durch die Bedeutung geprägt
Liberata;Liber;ata;Freiheit und eigenes Urteil;für Amt oder Pflicht bestimmt
Liberella;Liber;ella;Freiheit und eigenes Urteil;jüngere oder besonders geschätzte Trägerin
