Kategorie;Wort;Wortart;Bildung;Deutsch
Polis und Recht;Polis;Substantiv;Rhemata-Kompositum;Stadtstaat
Polis und Recht;Nomos;Substantiv;Rhemata-Kompositum;Gesetz
Polis und Recht;Archon;Substantiv;Rhemata-Kompositum;Amtsherr
Polis und Recht;Bouleion;Substantiv;Rhemata-Kompositum;Ratshaus
Polis und Recht;Demosia;Substantiv;Rhemata-Kompositum;Bürgerschaft
Polis und Recht;Kriterion;Substantiv;Rhemata-Kompositum;Gericht
Polis und Recht;Isnomia;Substantiv;Rhemata-Kompositum;Rechtsgleichheit
Polis und Recht;Nomophylax;Substantiv;Rhemata-Kompositum;Gesetzeshüter
Polis und Recht;Polikrat;Substantiv;Rhemata-Kompositum;Stadtherrscher
Polis und Recht;Omegion;Substantiv;Rhemata-Kompositum;Eidesurkunde
Krieg;Strategos;Substantiv;Rhemata-Kompositum;Heerführer
Krieg;Sthenmachos;Substantiv;Rhemata-Kompositum;Schwerkrieger
Krieg;Doryphylax;Substantiv;Rhemata-Kompositum;Speerwächter
Krieg;Nikator;Substantiv;Rhemata-Kompositum;Sieger
Krieg;Taxis;Substantiv;Rhemata-Kompositum;Schlachtreihe
Krieg;Phalangion;Substantiv;Rhemata-Kompositum;Phalanxverband
Krieg;Oxybelos;Substantiv;Rhemata-Kompositum;Schnellgeschoss
Krieg;Pyromachos;Substantiv;Rhemata-Kompositum;Feuerkämpfer
Krieg;Nykstratos;Substantiv;Rhemata-Kompositum;Nachtaufgebot
Krieg;Ergdoxa;Substantiv;Rhemata-Kompositum;Kriegsruhm
Kult;Theion;Substantiv;Rhemata-Kompositum;Heiligtum
Kult;Theophoros;Substantiv;Rhemata-Kompositum;Götterträger
Kult;Moirion;Substantiv;Rhemata-Kompositum;Schicksalsspruch
Kult;Nekrologos;Substantiv;Rhemata-Kompositum;Totenrede
Kult;Mnemeia;Substantiv;Rhemata-Kompositum;Gedenkstätte
Kult;Chareia;Substantiv;Rhemata-Kompositum;Göttergnade
Kult;Psychion;Substantiv;Rhemata-Kompositum;Seelensiegel
Kult;Thanatos;Substantiv;Rhemata-Kompositum;Tod
Kult;Apotheia;Substantiv;Rhemata-Kompositum;Entrückung
Kult;Hieronomos;Substantiv;Rhemata-Kompositum;heiliges Gesetz
Natur;Geion;Substantiv;Rhemata-Kompositum;Ackerland
Natur;Hydrion;Substantiv;Rhemata-Kompositum;Wasserbecken
Natur;Lithos;Substantiv;Rhemata-Kompositum;Stein
Natur;Aerion;Substantiv;Rhemata-Kompositum;Wind
Natur;Physis;Substantiv;Rhemata-Kompositum;Naturkraft
Natur;Oros;Substantiv;Rhemata-Kompositum;Berg
Natur;Rhoea;Substantiv;Rhemata-Kompositum;Flusslauf
Natur;Pelagion;Substantiv;Rhemata-Kompositum;offenes Meer
Natur;Pyrion;Substantiv;Rhemata-Kompositum;Herdfeuer
Natur;Helion;Substantiv;Rhemata-Kompositum;Sonnenlicht
Gesellschaft;Onyma;Substantiv;Rhemata-Kompositum;Name
Gesellschaft;Geneia;Substantiv;Rhemata-Kompositum;Abstammung
Gesellschaft;Logos;Substantiv;Rhemata-Kompositum;öffentliche Rede
Gesellschaft;Xenos;Substantiv;Rhemata-Kompositum;Fremder oder Gast
Gesellschaft;Timeia;Substantiv;Rhemata-Kompositum;Ehrenrang
Gesellschaft;Demarchos;Substantiv;Rhemata-Kompositum;Volksvorsteher
Gesellschaft;Oikia;Substantiv;Rhemata-Kompositum;Haushalt
Gesellschaft;Agora;Substantiv;Rhemata-Kompositum;Marktplatz
Gesellschaft;Tekton;Substantiv;Rhemata-Kompositum;Handwerker
Gesellschaft;Emporos;Substantiv;Rhemata-Kompositum;Händler
Gebildete Begriffe;Arikon;Substantiv;Rhemata-Kompositum;Verbindung aus Ursprung und Zeichen
Gebildete Begriffe;Arion;Substantiv;Rhemata-Kompositum;Verbindung aus Ursprung und Institution
Gebildete Begriffe;Areia;Substantiv;Rhemata-Kompositum;Verbindung aus Ursprung und Lehre
Gebildete Begriffe;Arphoros;Substantiv;Rhemata-Kompositum;Verbindung aus Ursprung und Träger
Gebildete Begriffe;Arlogion;Substantiv;Rhemata-Kompositum;Verbindung aus Ursprung und Spruch
Gebildete Begriffe;Sthenikon;Substantiv;Rhemata-Kompositum;Verbindung aus Kraft und Zeichen
Gebildete Begriffe;Sthenion;Substantiv;Rhemata-Kompositum;Verbindung aus Kraft und Institution
Gebildete Begriffe;Stheneia;Substantiv;Rhemata-Kompositum;Verbindung aus Kraft und Lehre
Gebildete Begriffe;Sthenphoros;Substantiv;Rhemata-Kompositum;Verbindung aus Kraft und Träger
Gebildete Begriffe;Sthenlogion;Substantiv;Rhemata-Kompositum;Verbindung aus Kraft und Spruch
Gebildete Begriffe;Nikikon;Substantiv;Rhemata-Kompositum;Verbindung aus Sieg und Zeichen
Gebildete Begriffe;Nikion;Substantiv;Rhemata-Kompositum;Verbindung aus Sieg und Institution
Gebildete Begriffe;Nikeia;Substantiv;Rhemata-Kompositum;Verbindung aus Sieg und Lehre
Gebildete Begriffe;Nikphoros;Substantiv;Rhemata-Kompositum;Verbindung aus Sieg und Träger
Gebildete Begriffe;Niklogion;Substantiv;Rhemata-Kompositum;Verbindung aus Sieg und Spruch
Gebildete Begriffe;Stratikon;Substantiv;Rhemata-Kompositum;Verbindung aus Heer und Zeichen
Gebildete Begriffe;Stration;Substantiv;Rhemata-Kompositum;Verbindung aus Heer und Institution
Gebildete Begriffe;Strateia;Substantiv;Rhemata-Kompositum;Verbindung aus Heer und Lehre
Gebildete Begriffe;Stratphoros;Substantiv;Rhemata-Kompositum;Verbindung aus Heer und Träger
Gebildete Begriffe;Stratlogion;Substantiv;Rhemata-Kompositum;Verbindung aus Heer und Spruch
Gebildete Begriffe;Doryikon;Substantiv;Rhemata-Kompositum;Verbindung aus Speer und Zeichen
Gebildete Begriffe;Doryion;Substantiv;Rhemata-Kompositum;Verbindung aus Speer und Institution
Gebildete Begriffe;Doryeia;Substantiv;Rhemata-Kompositum;Verbindung aus Speer und Lehre
Gebildete Begriffe;Doryphoros;Substantiv;Rhemata-Kompositum;Verbindung aus Speer und Träger
Gebildete Begriffe;Dorylogion;Substantiv;Rhemata-Kompositum;Verbindung aus Speer und Spruch
Gebildete Begriffe;Polikon;Substantiv;Rhemata-Kompositum;Verbindung aus Stadt und Zeichen
Gebildete Begriffe;Polion;Substantiv;Rhemata-Kompositum;Verbindung aus Stadt und Institution
Gebildete Begriffe;Poleia;Substantiv;Rhemata-Kompositum;Verbindung aus Stadt und Lehre
