Name;Stamm;Endung;Stammbedeutung;Endungsbedeutung
Aros;Ar;os;Ursprung;Träger
Arion;Ar;ion;Ursprung;Sohn der Bedeutung
Arides;Ar;ides;Ursprung;Nachkomme
Ararchos;Ar;archos;Ursprung;führender Träger
Arandros;Ar;andros;Ursprung;wehrhafter Mann
Sthenos;Sthen;os;Stärke;Träger
Sthenion;Sthen;ion;Stärke;Sohn der Bedeutung
Sthenides;Sthen;ides;Stärke;Nachkomme
Sthenarchos;Sthen;archos;Stärke;führender Träger
Sthenandros;Sthen;andros;Stärke;wehrhafter Mann
Machos;Mach;os;Kampf;Träger
Machion;Mach;ion;Kampf;Sohn der Bedeutung
Machides;Mach;ides;Kampf;Nachkomme
Macharchos;Mach;archos;Kampf;führender Träger
Machandros;Mach;andros;Kampf;wehrhafter Mann
Nikos;Nik;os;Sieg;Träger
Nikion;Nik;ion;Sieg;Sohn der Bedeutung
Nikides;Nik;ides;Sieg;Nachkomme
Nikarchos;Nik;archos;Sieg;führender Träger
Nikandros;Nik;andros;Sieg;wehrhafter Mann
Stratos;Strat;os;Heer;Träger
Stration;Strat;ion;Heer;Sohn der Bedeutung
Stratides;Strat;ides;Heer;Nachkomme
Stratarchos;Strat;archos;Heer;führender Träger
Stratandros;Strat;andros;Heer;wehrhafter Mann
Doryos;Dory;os;Speer;Träger
Doryion;Dory;ion;Speer;Sohn der Bedeutung
Doryides;Dory;ides;Speer;Nachkomme
Doryarchos;Dory;archos;Speer;führender Träger
Doryandros;Dory;andros;Speer;wehrhafter Mann
Ergos;Erg;os;Tat;Träger
Ergion;Erg;ion;Tat;Sohn der Bedeutung
Ergides;Erg;ides;Tat;Nachkomme
Ergarchos;Erg;archos;Tat;führender Träger
Ergandros;Erg;andros;Tat;wehrhafter Mann
Oxyos;Oxy;os;Schärfe;Träger
Oxyion;Oxy;ion;Schärfe;Sohn der Bedeutung
Oxyides;Oxy;ides;Schärfe;Nachkomme
Oxyarchos;Oxy;archos;Schärfe;führender Träger
Oxyandros;Oxy;andros;Schärfe;wehrhafter Mann
Nykos;Nyk;os;Nacht;Träger
Nykion;Nyk;ion;Nacht;Sohn der Bedeutung
Nykides;Nyk;ides;Nacht;Nachkomme
Nykarchos;Nyk;archos;Nacht;führender Träger
Nykandros;Nyk;andros;Nacht;wehrhafter Mann
Pyros;Pyr;os;Feuer;Träger
Pyrion;Pyr;ion;Feuer;Sohn der Bedeutung
Pyrides;Pyr;ides;Feuer;Nachkomme
Pyrarchos;Pyr;archos;Feuer;führender Träger
Pyrandros;Pyr;andros;Feuer;wehrhafter Mann
Polos;Pol;os;Polis;Träger
Polion;Pol;ion;Polis;Sohn der Bedeutung
Polides;Pol;ides;Polis;Nachkomme
Polarchos;Pol;archos;Polis;führender Träger
Polandros;Pol;andros;Polis;wehrhafter Mann
Kratos;Krat;os;Herrschaft;Träger
Kration;Krat;ion;Herrschaft;Sohn der Bedeutung
Kratides;Krat;ides;Herrschaft;Nachkomme
Kratarchos;Krat;archos;Herrschaft;führender Träger
Kratandros;Krat;andros;Herrschaft;wehrhafter Mann
Nomos;Nom;os;Gesetz;Träger
Nomion;Nom;ion;Gesetz;Sohn der Bedeutung
Nomides;Nom;ides;Gesetz;Nachkomme
Nomarchos;Nom;archos;Gesetz;führender Träger
Nomandros;Nom;andros;Gesetz;wehrhafter Mann
Archos;Arch;os;Amt;Träger
Archion;Arch;ion;Amt;Sohn der Bedeutung
Archides;Arch;ides;Amt;Nachkomme
Archarchos;Arch;archos;Amt;führender Träger
Archandros;Arch;andros;Amt;wehrhafter Mann
Isoos;Iso;os;Gleichheit;Träger
Isoion;Iso;ion;Gleichheit;Sohn der Bedeutung
Isoides;Iso;ides;Gleichheit;Nachkomme
Isoarchos;Iso;archos;Gleichheit;führender Träger
Isoandros;Iso;andros;Gleichheit;wehrhafter Mann
Phylos;Phyl;os;Wacht;Träger
Phylion;Phyl;ion;Wacht;Sohn der Bedeutung
Phylides;Phyl;ides;Wacht;Nachkomme
Phylarchos;Phyl;archos;Wacht;führender Träger
Phylandros;Phyl;andros;Wacht;wehrhafter Mann
Kritos;Krit;os;Urteil;Träger
Krition;Krit;ion;Urteil;Sohn der Bedeutung
Kritides;Krit;ides;Urteil;Nachkomme
Kritarchos;Krit;archos;Urteil;führender Träger
Kritandros;Krit;andros;Urteil;wehrhafter Mann
Miros;Mir;os;Schicksal;Träger
Mirion;Mir;ion;Schicksal;Sohn der Bedeutung
Mirides;Mir;ides;Schicksal;Nachkomme
Mirarchos;Mir;archos;Schicksal;führender Träger
Mirandros;Mir;andros;Schicksal;wehrhafter Mann
Theos;The;os;Göttliches;Träger
Theion;The;ion;Göttliches;Sohn der Bedeutung
Theides;The;ides;Göttliches;Nachkomme
Thearchos;The;archos;Göttliches;führender Träger
Theandros;The;andros;Göttliches;wehrhafter Mann
Doros;Dor;os;Gabe;Träger
Dorion;Dor;ion;Gabe;Sohn der Bedeutung
Dorides;Dor;ides;Gabe;Nachkomme
Dorarchos;Dor;archos;Gabe;führender Träger
Dorandros;Dor;andros;Gabe;wehrhafter Mann
