Name;Stamm;Endung;Stammbedeutung;Endungsbedeutung
Aria;Ar;ia;Ursprung;Trägerin
Areia;Ar;eia;Ursprung;Verkörperung
Aris;Ar;is;Ursprung;wirkende Kraft
Arandra;Ar;andra;Ursprung;wehrhafte Frau
Arthea;Ar;thea;Ursprung;göttlich berufene Frau
Sthenia;Sthen;ia;Stärke;Trägerin
Stheneia;Sthen;eia;Stärke;Verkörperung
Sthenis;Sthen;is;Stärke;wirkende Kraft
Sthenandra;Sthen;andra;Stärke;wehrhafte Frau
Sthenthea;Sthen;thea;Stärke;göttlich berufene Frau
Machia;Mach;ia;Kampf;Trägerin
Macheia;Mach;eia;Kampf;Verkörperung
Machis;Mach;is;Kampf;wirkende Kraft
Machandra;Mach;andra;Kampf;wehrhafte Frau
Machthea;Mach;thea;Kampf;göttlich berufene Frau
Nikia;Nik;ia;Sieg;Trägerin
Nikeia;Nik;eia;Sieg;Verkörperung
Nikis;Nik;is;Sieg;wirkende Kraft
Nikandra;Nik;andra;Sieg;wehrhafte Frau
Nikthea;Nik;thea;Sieg;göttlich berufene Frau
Stratia;Strat;ia;Heer;Trägerin
Strateia;Strat;eia;Heer;Verkörperung
Stratis;Strat;is;Heer;wirkende Kraft
Stratandra;Strat;andra;Heer;wehrhafte Frau
Stratthea;Strat;thea;Heer;göttlich berufene Frau
Doryia;Dory;ia;Speer;Trägerin
Doryeia;Dory;eia;Speer;Verkörperung
Doryis;Dory;is;Speer;wirkende Kraft
Doryandra;Dory;andra;Speer;wehrhafte Frau
Dorythea;Dory;thea;Speer;göttlich berufene Frau
Ergia;Erg;ia;Tat;Trägerin
Ergeia;Erg;eia;Tat;Verkörperung
Ergis;Erg;is;Tat;wirkende Kraft
Ergandra;Erg;andra;Tat;wehrhafte Frau
Ergthea;Erg;thea;Tat;göttlich berufene Frau
Oxyia;Oxy;ia;Schärfe;Trägerin
Oxyeia;Oxy;eia;Schärfe;Verkörperung
Oxyis;Oxy;is;Schärfe;wirkende Kraft
Oxyandra;Oxy;andra;Schärfe;wehrhafte Frau
Oxythea;Oxy;thea;Schärfe;göttlich berufene Frau
Nykia;Nyk;ia;Nacht;Trägerin
Nykeia;Nyk;eia;Nacht;Verkörperung
Nykis;Nyk;is;Nacht;wirkende Kraft
Nykandra;Nyk;andra;Nacht;wehrhafte Frau
Nykthea;Nyk;thea;Nacht;göttlich berufene Frau
Pyria;Pyr;ia;Feuer;Trägerin
Pyreia;Pyr;eia;Feuer;Verkörperung
Pyris;Pyr;is;Feuer;wirkende Kraft
Pyrandra;Pyr;andra;Feuer;wehrhafte Frau
Pyrthea;Pyr;thea;Feuer;göttlich berufene Frau
Polia;Pol;ia;Polis;Trägerin
Poleia;Pol;eia;Polis;Verkörperung
Polis;Pol;is;Polis;wirkende Kraft
Polandra;Pol;andra;Polis;wehrhafte Frau
Polthea;Pol;thea;Polis;göttlich berufene Frau
Kratia;Krat;ia;Herrschaft;Trägerin
Krateia;Krat;eia;Herrschaft;Verkörperung
Kratis;Krat;is;Herrschaft;wirkende Kraft
Kratandra;Krat;andra;Herrschaft;wehrhafte Frau
Kratthea;Krat;thea;Herrschaft;göttlich berufene Frau
Nomia;Nom;ia;Gesetz;Trägerin
Nomeia;Nom;eia;Gesetz;Verkörperung
Nomis;Nom;is;Gesetz;wirkende Kraft
Nomandra;Nom;andra;Gesetz;wehrhafte Frau
Nomthea;Nom;thea;Gesetz;göttlich berufene Frau
Archia;Arch;ia;Amt;Trägerin
Archeia;Arch;eia;Amt;Verkörperung
Archis;Arch;is;Amt;wirkende Kraft
Archandra;Arch;andra;Amt;wehrhafte Frau
Archthea;Arch;thea;Amt;göttlich berufene Frau
Isoia;Iso;ia;Gleichheit;Trägerin
Isoeia;Iso;eia;Gleichheit;Verkörperung
Isois;Iso;is;Gleichheit;wirkende Kraft
Isoandra;Iso;andra;Gleichheit;wehrhafte Frau
Isothea;Iso;thea;Gleichheit;göttlich berufene Frau
Phylia;Phyl;ia;Wacht;Trägerin
Phyleia;Phyl;eia;Wacht;Verkörperung
Phylis;Phyl;is;Wacht;wirkende Kraft
Phylandra;Phyl;andra;Wacht;wehrhafte Frau
Phylthea;Phyl;thea;Wacht;göttlich berufene Frau
Kritia;Krit;ia;Urteil;Trägerin
Kriteia;Krit;eia;Urteil;Verkörperung
Kritis;Krit;is;Urteil;wirkende Kraft
Kritandra;Krit;andra;Urteil;wehrhafte Frau
Kritthea;Krit;thea;Urteil;göttlich berufene Frau
Miria;Mir;ia;Schicksal;Trägerin
Mireia;Mir;eia;Schicksal;Verkörperung
Miris;Mir;is;Schicksal;wirkende Kraft
Mirandra;Mir;andra;Schicksal;wehrhafte Frau
Mirthea;Mir;thea;Schicksal;göttlich berufene Frau
Theia;The;ia;Göttliches;Trägerin
Theeia;The;eia;Göttliches;Verkörperung
Theis;The;is;Göttliches;wirkende Kraft
Theandra;The;andra;Göttliches;wehrhafte Frau
Thethea;The;thea;Göttliches;göttlich berufene Frau
Doria;Dor;ia;Gabe;Trägerin
Doreia;Dor;eia;Gabe;Verkörperung
Doris;Dor;is;Gabe;wirkende Kraft
Dorandra;Dor;andra;Gabe;wehrhafte Frau
Dorthea;Dor;thea;Gabe;göttlich berufene Frau
